工具名称 Tool Name,Chinese Tool Name,单位 Unit,采购数量 Qty,购买链接 Purchase Link,单价 Price,小记 Subtotal,,
Wrench Set (Spanners)5.5-7,扳手（套）,把,5,https://item.taobao.com/item.htm?ali_refid=a3_430008_1006%3A2131133400%3AH%3A2TxEKB7zYIk5cVMFxiPBog%3D%3D%3Ace7335a342ff3d02dc6282fb128b3db7&ali_trackid=282_ce7335a342ff3d02dc6282fb128b3db7&id=864279450315&mi_id=0000UdCg69Gh94976rR6LmO2h_tYayPCjaAW4rmYiMo6xKM&mm_sceneid=1_0_7156362715_0&priceTId=2100c80117724198150347711e0589&skuId=5689602989817&spm=a21n57.1.hoverItem.31&utparam=%7B%22aplus_abtest%22%3A%2262e254cb5849a533d246a613b3f86428%22%7D&xxc=ad_ztc,3.75,18.75,,
Electrical Tape,电工胶带  黑色（10卷装9m）,10卷装,1,https://detail.tmall.com/item.htm?abbucket=1&fpChannel=101&fpChannelSig=dfad2940d39378d8dddc01e55abef8d7c6f1dd94&id=539889668218&mi_id=0000ROGRyBp0xM8g_AvLn2rRSpA4oYVhwpGjw72BlbrgQ5c&ns=1&priceTId=2100c88e17724193489093935e0cdb&skuId=5302135823118&spm=a21n57.1.hoverItem.4&utparam=%7B%22aplus_abtest%22%3A%2299f7ccbd3cf58048e7f6ba9d53d3ada8%22%7D&xxc=taobaoSearch,20,20,,Constraints: 
Electrical Tape,电工胶带 彩色 （5卷18m）,5卷装,1,https://detail.tmall.com/item.htm?abbucket=1&id=642169149753&mi_id=0000BItvsG3D3fvxdhbOyKMKdFGngI8lXBUPpoPgunFd3TQ&ns=1&priceTId=2100c89717724204340272326e0d07&skuId=4615840736925&spm=a21n57.1.hoverItem.6&utparam=%7B%22aplus_abtest%22%3A%22db5a6e634e939d13d54eeb9063546d65%22%7D&xxc=taobaoSearch,22,22,,distinguisable from existing
Wrench Set (Spanners)8-10,扳手（套）,把,5,https://item.taobao.com/item.htm?ali_refid=a3_430008_1006%3A2131133400%3AH%3A2TxEKB7zYIk5cVMFxiPBog%3D%3D%3Ace7335a342ff3d02dc6282fb128b3db7&ali_trackid=282_ce7335a342ff3d02dc6282fb128b3db7&id=864279450315&mi_id=0000UdCg69Gh94976rR6LmO2h_tYayPCjaAW4rmYiMo6xKM&mm_sceneid=1_0_7156362715_0&priceTId=2100c80117724198150347711e0589&skuId=5689602989819&spm=a21n57.1.hoverItem.31&utparam=%7B%22aplus_abtest%22%3A%2262e254cb5849a533d246a613b3f86428%22%7D&xxc=ad_ztc,4.63,23.15,,good quality
C-Clamps (Small),C口钳（小）80,把,4,https://detail.tmall.com/item.htm?ali_refid=a3_430620_1006%3A1110484642%3AH%3A2VR78vekulJXHTAiuzMFkw%3D%3D%3A44277f73ca80c1bc98148ec89257e5d3&ali_trackid=318_44277f73ca80c1bc98148ec89257e5d3&id=586725303306&mi_id=0000mlUj5wQlt8hchhMvQP3c0rkw-kD6dwDqZej-yNMaBks&mm_sceneid=0_0_108865879_0&priceTId=2100c84717724206196985720e0cd4&skuId=5842291754075&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22019193c06e16aa7e0aca4ff61c2f6e21%22%7D&xxc=ad_ztc,11.52,46.08,,easy to stick on stickers / tags
Utility Knife (Box Cutter),美工刀,5把1套,2,https://detail.tmall.com/item.htm?ali_refid=a3_420434_1006%3A1110484642%3AH%3AVmjm4c3Gl8GsSCl4TC87zA%3D%3D%3A9475aeb00cdd4d19a192e94326513e24&ali_trackid=318_9475aeb00cdd4d19a192e94326513e24&id=771639220665&mi_id=00008DxJm-c_P9qApH07WiQ1fiXcKgzr7YACU__BImyVdJ0&mm_sceneid=0_0_108865879_0&priceTId=2100c89717724197200311631e0d07&skuId=6137267915057&spm=a21n57.1.hoverItem.14&utparam=%7B%22aplus_abtest%22%3A%22a058cdae8e0f8b60f6722993c9829b9c%22%7D&xxc=ad_ztc,25,50,,
Hot Glue Gun (+ Glue Sticks),热熔胶枪（+胶棒）,套,2,https://detail.tmall.com/item.htm?abbucket=1&id=896608268895&mi_id=0000o8ZGvCdw8pAUA_sVW4a38KESaolzoXlvGdP2HI5iHRE&ns=1&priceTId=2100c89717724202108624179e0d07&skuId=5747052384799&spm=a21n57.1.hoverItem.23&utparam=%7B%22aplus_abtest%22%3A%2266fa562dbc7c50c344475542753901ca%22%7D&xxc=taobaoSearch,25,50,,
Threadlocker (Screw Glue),螺丝胶,瓶,5,https://detail.tmall.com/item.htm?ali_refid=a3_420434_1006%3A1152380262%3AH%3AvF9bBm7JBDFZwfeeZkDmpg%3D%3D%3A9bf57658b6c242347758b3887b99fa19&ali_trackid=318_9bf57658b6c242347758b3887b99fa19&id=705323724965&mi_id=0000mNUrs15jnQn4LQQKP9RZ1m0GJ_oBw56SNJFx9DVsQF8&mm_sceneid=0_0_133005569_0&priceTId=2100c88e17724190851155226e0cdb&skuId=5137765891551&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22b61f3af5afe72083935ce98d275f9937%22%7D&xxc=ad_ztc,10,50,,
Power Drill with Drill & Driver Bits,"钻头专业强化塑盒13件套送13支麻花钻
",套,4,https://detail.tmall.com/item.htm?abbucket=12&id=557061845116&mi_id=0000914U2y1zH2eZhwe5lWiO4M9fsj6bLn9Is2bjkvIPcr0&ns=1&priceTId=2100c84717724204941642830e0cd4&skuId=5629448780132&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%2237d5db73cdc914792fcd90d628b68dae%22%7D&xxc=taobaoSearch,13.9,55.6,,
Tweezers (Anti-static),镊子,把,10,https://detail.tmall.com/item.htm?abbucket=1&id=665047261038&mi_id=00005d2ukHl4dF-iu_xrz5KnnBcIINT2iEzV12_SiIgEHxQ&ns=1&priceTId=2100c89317724195336831289e0cd7&skuId=5229045219757&spm=a21n57.1.hoverItem.6&utparam=%7B%22aplus_abtest%22%3A%2287b417adc78ec2a4bde42411728cc0f0%22%7D&xxc=taobaoSearch,6,60,,
